ecotype_id	ecotype_name	Country	Lattitude_d	Longitude_d	Lat_rad	Long_rad	Dist_to_H	Dist_to_N	Dist_to_O	Dist_to_V	Surv_H_GER	SilN_H_GER	Surv_N_UK	SilN_N_UK	Surv_O_FIN	SilN_O_FIN	Surv_V_SP	SilN_V_SP
8264	Bla-1	ESP	41.6833	2.8	0.727512529	0.048869333	1293.302062	1216.672457	2951.953591	357.1340755	1	1696	0.5	602.1	NA	NA	0.875	626.5
7194	Kl-0	GER	50.95	6.9666	0.889247333	0.121590392	354.8669282	435.7921822	1881.120042	1387.648781	0.9	1733.2	0.75	268.2	0.933333333	231.7857143	0.8125	1003.4
7256	Mh-1	POL	50.95	7.5	0.889247333	0.1309	318.2994766	469.4117789	1864.212488	1405.236432	1	2219.8	0.769230769	214.6	NA	NA	0.933333333	1276.666667
7192	Kil-0	UK	55.6395	-5.66364	0.97109474	-0.098849397	1250.413469	562.0062594	1965.509717	1827.244046	1	2319.4	0.785714286	284	0.866666667	234.0714286	0.777777778	574.25
7210	La-1	POL	52.7333	15.2333	0.920371863	0.265871863	261.7745599	945.1758779	1473.714065	1885.7751	0.95	3083.666667	0.6	312.8	NA	NA	0.882352941	1432.6
7245	Ma-0	GER	50.8167	8.7667	0.886920804	0.153008137	236.6206423	556.5229371	1838.862208	1438.461155	1	1581.4	0.785714286	497.6	NA	NA	0.894736842	622.4
7268	Np-0	GER	52.6969	10.981	0.919736561	0.191655053	152.5745097	659.6249064	1584.958653	1696.988438	1	1510.666667	0.692307692	14.8	NA	NA	0.785714286	649
7250	Me-0	GER	51.9183	10.1138	0.906147396	0.176519523	138.6607279	610.7680095	1688.343672	1592.26937	1	4901	0.6	480	NA	NA	0.733333333	551
5719	Bur-0	IRL	54.1	-6.2	0.944225333	-0.108210667	1253.857039	519.4179045	2112.064413	1672.09384	1	1044.2	0.6	205.1	1	163.0666667	0.8	296
5749	Ksk-1	UK	54.6	-3.1	0.952952	-0.054105333	1064.715103	362.2225809	1935.313797	1682.049564	1	2488	0.75	1130.6	NA	NA	0.764705882	1156.8
8274	Can-0	ESP	29.2144	-13.4811	0.509888661	-0.235290132	3250.305558	2862.460383	4791.567907	1660.32127	0.75	430	0.615384615	382.2	NA	NA	0.722222222	898.3333333
